Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
10,0.385,0.616,-0.874,-0.094,2.925,3.317,0.470,0.538,-0.559,0.310,-0.259,-0.326,-0.090,0.363,0.929,-0.129,-0.810,0.360,0.708,0.126,0.050,0.238,0.009,0.997,-0.767,-0.492,0.042,-0.054,9.990,0
12,-0.752,0.345,2.057,-1.469,-1.158,-0.078,-0.609,0.004,-0.436,0.748,-0.794,-0.770,1.048,-1.067,1.107,1.660,-0.279,-0.420,0.433,0.263,0.500,1.354,-0.257,-0.065,-0.039,-0.087,-0.181,0.129,15.990,0
25,1.114,0.086,0.494,1.336,-0.300,-0.011,-0.119,0.189,0.206,0.082,1.134,0.627,-1.493,0.521,-0.675,-0.529,0.158,-0.399,-0.146,-0.274,-0.053,-0.005,-0.031,0.198,0.565,-0.338,0.029,0.004,4.450,0
33,-0.936,0.170,2.746,-1.078,-0.306,0.012,-0.296,0.403,-0.040,-0.852,1.552,0.954,0.415,-0.234,0.452,0.844,-0.823,0.339,-1.214,-0.005,0.401,1.065,-0.158,0.296,-0.259,0.754,0.047,0.094,9.100,0
35,1.199,0.130,0.864,1.003,-0.784,-0.885,-0.041,-0.208,0.392,-0.248,-0.095,1.314,1.092,-0.409,-0.578,-0.581,0.212,-0.893,-0.021,-0.073,-0.042,0.198,-0.033,1.013,0.559,0.402,-0.006,0.018,0.990,0
41,1.154,0.265,0.385,0.575,-0.217,-0.392,-0.081,0.063,-0.261,-0.162,2.053,1.131,0.189,-0.071,0.619,0.319,0.090,-0.331,-0.345,-0.100,-0.193,-0.558,0.169,0.187,0.089,0.094,-0.010,0.020,2.670,0
41,1.139,-1.193,1.407,-0.330,-2.070,-0.242,-1.307,0.105,0.135,0.494,-0.895,-0.183,0.146,-0.587,0.797,-0.892,-0.079,1.542,-0.984,-0.299,-0.156,-0.031,-0.020,0.434,-0.030,1.141,-0.009,0.042,96.940,0
42,-0.523,1.010,0.276,1.475,-0.707,0.355,1.560,-0.400,-0.480,0.516,0.034,0.589,1.427,0.021,1.651,-0.961,0.246,-0.408,0.917,-0.013,0.172,1.012,0.070,0.158,-1.109,-0.302,0.318,0.317,243.660,0
49,1.099,0.202,0.525,1.323,-0.130,0.040,0.028,0.073,-0.098,0.020,1.474,1.690,0.507,0.125,-0.893,-0.622,0.044,-0.642,-0.162,-0.128,-0.025,0.154,-0.063,0.253,0.629,-0.345,0.040,0.010,13.180,0
51,1.260,0.254,0.515,0.621,-0.476,-0.992,0.066,-0.209,0.036,-0.068,-0.204,0.403,0.377,0.227,1.025,0.300,-0.426,-0.550,-0.120,-0.089,-0.257,-0.739,0.136,0.382,0.219,0.094,-0.029,0.019,1.980,0
59,0.921,-0.162,-0.094,0.474,-0.021,-0.398,0.483,-0.117,-0.578,-0.019,1.838,1.451,0.680,0.594,0.250,-0.084,-0.260,-0.895,-0.010,0.215,-0.209,-0.930,0.029,0.033,0.155,0.133,-0.074,0.022,149.900,0
64,1.213,-0.099,-1.192,0.286,2.161,3.616,-0.404,0.842,0.169,-0.031,-0.542,0.237,-0.218,0.197,-0.148,-0.098,-0.510,-0.071,0.355,0.015,-0.167,-0.495,-0.150,1.011,0.884,-0.329,0.020,0.017,34.700,0
68,1.157,0.037,0.557,0.520,-0.480,-0.353,-0.222,0.158,0.011,0.106,1.612,0.354,-1.435,0.797,0.745,0.223,-0.229,-0.365,-0.254,-0.222,-0.183,-0.612,0.197,0.175,0.032,0.099,-0.027,0.004,2.690,0
70,-0.426,-0.060,2.221,0.025,-0.585,0.461,-0.323,0.435,1.252,-1.012,-1.379,0.203,-0.856,-0.926,-1.574,-0.493,0.329,-0.618,-0.708,-0.200,0.149,0.770,-0.093,0.151,-0.234,0.505,0.069,0.041,21.800,0
71,1.332,-0.580,0.423,-0.898,-0.746,-0.056,-0.750,0.128,-0.965,0.736,1.391,-0.008,-0.129,0.094,0.389,1.237,0.152,-1.399,0.673,0.052,-0.039,-0.255,0.109,-0.328,0.162,-0.447,0.020,0.006,14.480,0
73,1.148,0.086,0.121,1.127,0.215,0.537,-0.050,0.186,0.112,0.047,0.508,0.870,-0.323,0.269,-0.717,-0.314,-0.224,-0.228,0.179,-0.148,-0.091,-0.095,-0.167,-0.653,0.713,-0.288,0.032,0.000,19.770,0
75,-1.439,0.268,3.563,3.481,-1.160,1.765,-0.559,0.442,0.348,0.393,-0.972,0.516,0.497,-1.484,-0.867,-1.020,1.063,-0.359,0.881,-0.173,0.129,1.129,-0.007,0.497,0.131,0.526,-0.089,0.113,81.130,0
77,-0.427,0.746,1.762,-0.165,0.058,-0.213,0.647,0.073,-0.292,0.065,1.527,-0.132,-1.697,0.482,0.586,0.035,-0.306,-0.206,-0.119,0.053,-0.202,-0.432,0.013,0.162,-0.401,0.047,0.103,-0.117,9.120,0
81,1.111,0.215,0.374,1.150,-0.330,-0.899,0.310,-0.255,-0.111,-0.058,-0.218,0.601,0.686,0.262,0.923,0.135,-0.490,-0.393,-0.315,0.032,-0.133,-0.494,-0.011,0.380,0.456,-0.572,0.011,0.039,68.740,0
85,-4.258,1.649,-1.591,-1.374,-1.180,-0.331,-0.118,1.592,0.416,0.159,-1.516,0.374,0.427,0.804,0.713,0.916,-0.134,-0.693,-0.640,-0.272,-0.453,-0.672,0.001,-0.876,0.070,0.730,-0.003,-0.481,124.670,0
91,1.276,0.211,0.143,0.370,0.155,-0.032,-0.003,-0.039,0.031,-0.122,-0.668,0.417,0.891,0.128,1.296,0.234,-0.475,-0.773,-0.164,-0.069,-0.280,-0.748,0.057,-0.759,0.272,0.175,-0.011,0.008,1.980,0
91,-1.822,1.235,-0.308,-1.822,2.762,3.641,-0.345,-1.548,-0.138,-0.467,-0.466,0.019,-0.311,0.279,-0.047,1.121,-1.458,0.108,-1.497,-0.854,2.081,-1.592,0.322,0.889,0.156,-0.961,-0.035,0.182,15.890,0
92,-5.286,4.847,-1.290,-1.428,-0.622,-0.605,0.438,0.336,3.558,6.428,1.401,0.667,0.315,-1.861,0.559,0.315,-0.701,0.206,-0.208,2.962,-0.924,-1.171,0.151,-0.493,1.051,0.195,2.491,1.575,8.950,0
92,-0.238,0.509,1.952,0.779,-0.379,0.251,-0.072,0.229,0.211,-0.374,-0.716,-0.047,-0.334,-0.246,0.628,-0.782,0.536,-0.283,0.682,0.005,0.217,0.904,-0.121,0.141,-0.614,0.576,0.194,0.165,2.990,0
93,-0.854,0.127,1.267,0.679,-1.030,-0.488,1.836,-0.299,-0.922,-0.646,-0.026,0.029,0.407,0.230,1.128,-0.257,0.008,-0.117,0.426,0.776,0.252,0.180,0.477,0.725,0.527,0.503,-0.159,0.003,322.440,0
95,1.316,-0.106,-0.246,-1.186,-0.120,-0.613,0.007,-0.137,0.848,-0.785,0.876,1.280,0.569,0.443,0.941,-0.193,-0.789,0.782,1.083,-0.042,0.093,0.405,-0.283,-0.457,0.895,-0.562,0.045,0.003,7.210,0
99,-0.884,-0.151,2.292,-0.263,-0.815,0.956,0.098,0.474,0.140,-0.730,0.711,0.095,-1.098,-0.060,0.235,-0.142,0.193,0.218,1.156,0.359,0.071,0.052,0.110,-0.261,-0.098,1.155,-0.021,0.063,142.710,0
99,1.081,-0.257,0.427,0.918,-0.746,-0.721,-0.002,-0.087,0.643,-0.193,-0.872,-0.181,-1.265,0.195,-0.066,-0.215,0.106,-0.547,0.201,-0.042,-0.199,-0.627,-0.041,0.387,0.383,0.265,-0.045,0.024,84.390,0
103,-0.941,1.074,1.759,-0.601,0.102,-0.189,0.456,-3.461,0.442,0.918,0.877,0.338,0.646,-0.829,1.465,-0.915,0.172,-1.054,0.277,-0.209,2.270,-0.144,0.154,0.701,-0.413,1.374,-0.996,-0.836,9.990,0
107,1.175,0.661,-0.477,1.103,0.543,-0.247,0.165,0.027,-0.423,-0.574,1.853,0.871,0.497,-1.251,0.599,0.568,0.768,0.672,-0.575,-0.069,-0.003,0.094,-0.154,-0.425,0.652,-0.297,0.051,0.042,1.000,0
114,-0.284,1.069,0.931,-0.129,0.388,-0.514,0.664,0.009,-0.261,-0.496,-1.049,-0.628,-0.245,-0.378,1.011,0.651,-0.268,0.198,0.228,0.111,-0.324,-0.886,-0.110,-0.521,-0.065,0.126,0.241,0.089,4.490,0
115,-0.183,-0.921,1.819,-2.451,-1.248,0.147,0.219,-0.407,-2.024,1.411,1.672,-0.103,1.082,-1.044,-0.319,-0.256,-0.105,0.221,-1.240,-0.243,0.031,0.849,0.120,0.219,-0.442,-0.387,-0.292,-0.448,137.000,0
118,1.431,-0.648,-0.332,-1.207,-0.013,0.704,-0.732,0.183,-0.878,0.768,0.057,-0.591,0.005,0.048,0.442,1.531,-0.325,-0.724,1.100,0.101,0.113,0.222,-0.245,-1.688,0.610,-0.088,0.010,-0.014,20.000,0
121,-0.869,0.685,2.014,0.126,-0.493,-0.320,0.374,-0.081,0.900,0.194,-0.996,-0.566,-1.135,-0.554,0.016,-0.206,-0.163,0.078,0.078,0.177,0.027,0.574,-0.252,0.432,-0.138,0.423,0.181,0.044,29.990,0
124,-1.711,-1.367,2.217,0.405,-0.114,-0.076,-0.260,0.321,-0.175,-0.479,0.760,0.475,0.123,-0.120,0.490,0.181,-0.199,0.916,1.506,0.986,0.391,0.481,0.406,0.066,0.157,1.286,-0.094,0.099,230.000,0
128,-0.550,0.908,1.598,1.299,0.588,0.032,0.754,-0.307,-0.269,0.139,-0.333,0.687,0.983,-0.457,0.134,-1.368,0.446,-0.868,0.765,0.022,-0.011,0.418,-0.265,0.130,-0.228,-0.305,-0.191,-0.087,10.000,0
139,0.951,-0.658,1.702,1.810,-1.360,0.954,-1.135,0.529,1.914,-0.413,-1.489,0.106,-1.650,-0.766,-1.183,-0.739,0.677,-0.484,-0.188,-0.193,-0.028,0.284,-0.092,0.092,0.418,-0.196,0.107,0.041,58.000,0
140,0.694,-1.134,0.783,-0.593,-1.422,-0.488,-0.272,-0.029,1.353,-1.067,1.649,2.152,1.105,-0.138,0.470,-0.315,-0.391,0.549,0.662,0.479,0.239,0.381,-0.271,0.595,0.392,-0.734,0.051,0.075,257.300,0
140,1.008,-1.289,0.667,-0.741,-1.291,0.302,-1.027,0.221,-0.607,0.670,1.254,-0.138,-0.034,-0.143,0.746,1.515,-0.012,-0.628,0.230,0.379,0.531,1.114,-0.260,-0.253,0.299,-0.033,0.018,0.036,169.000,0
142,1.288,0.086,-1.179,0.064,2.195,3.383,-0.448,0.799,-0.147,0.126,-0.191,-0.000,0.003,0.467,1.124,0.476,-0.973,0.374,-0.103,-0.016,0.017,-0.051,-0.145,1.008,0.833,-0.265,0.021,0.015,4.900,0
144,-1.033,0.681,1.403,-0.530,0.870,1.903,0.033,-0.238,0.845,-0.989,-1.306,1.048,-0.075,-0.900,-3.618,0.087,-0.723,-0.340,-0.489,-0.520,0.412,-0.941,-0.158,-1.735,-0.026,-0.815,0.095,0.127,15.360,0
147,-2.688,4.390,-2.360,0.361,1.310,-1.645,2.328,-1.728,4.325,6.286,2.466,-0.727,0.026,-6.577,1.766,-0.652,2.201,0.378,-1.450,3.169,-1.046,-0.157,0.080,-0.013,0.207,-0.537,0.950,-0.624,0.890,0
153,-0.649,0.741,1.800,0.141,0.051,-0.257,0.920,-0.422,0.591,0.301,-0.173,-0.103,-0.774,-0.590,-0.036,-0.936,0.240,-1.126,-0.131,0.063,-0.229,-0.161,-0.113,0.421,-0.140,0.163,-0.469,-0.351,22.990,0
153,-0.904,-0.233,2.581,-0.991,-0.398,0.282,0.239,0.249,0.651,-0.882,0.940,0.398,-1.495,-0.428,-1.308,-0.096,-0.080,-0.432,-0.337,0.050,-0.075,-0.098,0.059,0.245,-0.316,0.754,-0.166,-0.138,71.260,0
164,1.212,0.246,0.309,0.585,-0.382,-0.765,-0.068,-0.013,-0.111,-0.091,1.499,0.514,-0.627,0.062,0.478,0.712,-0.213,0.292,0.097,-0.118,-0.245,-0.781,0.125,0.268,0.160,0.080,-0.032,0.019,2.280,0
179,-0.431,0.891,1.721,-0.238,0.273,-0.970,1.250,-0.484,-0.871,-0.346,-0.009,0.168,0.715,0.018,1.032,-0.380,-0.043,-0.858,1.167,0.291,-0.413,-1.112,-0.058,0.430,-0.063,0.724,-0.211,-0.161,27.990,0
